DATE,CPALTT01USM657N
1/07/2012,-0.162978586
1/08/2012,0.556515818
1/09/2012,0.446221227
1/10/2012,-0.038892514
1/11/2012,-0.473808669
1/12/2012,-0.269306449
1/01/2013,0.295730419
1/02/2013,0.819002953
1/03/2013,0.261450858
1/04/2013,-0.103963948
1/05/2013,0.178040777
1/06/2013,0.239970809
1/07/2013,0.039399753
1/08/2013,0.120293156
1/09/2013,0.116300449
1/10/2013,-0.257528326
1/11/2013,-0.204242419
1/12/2013,-0.00858115
1/01/2014,0.372024767
1/02/2014,0.369790865
1/03/2014,0.644004413
1/04/2014,0.329675445
1/05/2014,0.349260984
1/06/2014,0.186212694
1/07/2014,-0.039019396
1/08/2014,-0.167051417
1/09/2014,0.075256882
1/10/2014,-0.251227781
1/11/2014,-0.539941794
1/12/2014,-0.567010091
1/01/2015,-0.470589237
1/02/2015,0.434304492
1/03/2015,0.595172161
1/04/2015,0.203287325
1/05/2015,0.509723203
1/06/2015,0.350287
1/07/2015,0.006704716
1/08/2015,-0.141627628
1/09/2015,-0.155675658
1/10/2015,-0.044968375
1/11/2015,-0.211068038
1/12/2015,-0.341709644
1/01/2016,0.165310221
1/02/2016,0.082307653
1/03/2016,0.430600014
1/04/2016,0.474106798
1/05/2016,0.4045791
1/06/2016,0.328436617
1/07/2016,-0.16181364
1/08/2016,0.091843011
1/09/2016,0.240399586
1/10/2016,0.124674851
1/11/2016,-0.155546087
1/12/2016,0.032732139
1/01/2017,0.582772789
1/02/2017,0.314611739
1/03/2017,0.081279787
1/04/2017,0.296553337
1/05/2017,0.085472183
1/06/2017,0.090711101
1/07/2017,-0.068992264
1/08/2017,0.29944523
1/09/2017,0.529490589
1/10/2017,-0.06320421
1/11/2017,0.002432469
1/12/2017,-0.058783228
1/01/2018,0.544774545
1/02/2018,0.453468997
1/03/2018,0.22611259
1/04/2018,0.397509156
1/05/2018,0.415891693
1/06/2018,0.15938757
1/07/2018,0.006746326
1/08/2018,0.055554233
1/09/2018,0.116202518
1/10/2018,0.176676346
1/11/2018,-0.334934852
1/12/2018,-0.319396282
1/01/2019,0.190659667
1/02/2019,0.422705314
1/03/2019,0.564135836
1/04/2019,0.529500161
1/05/2019,0.212875859
1/06/2019,0.019914718
1/07/2019,0.167094162
1/08/2019,-0.005066824
1/09/2019,0.078344858
1/10/2019,0.228619055
1/11/2019,-0.053624303
1/12/2019,-0.090976953
1/01/2020,0.387976994
1/02/2020,0.274061813
1/03/2020,-0.217645103
1/04/2020,-0.668694187
1/05/2020,0.001950162
1/06/2020,0.547204693
1/07/2020,0.50582435
1/08/2020,0.315321052
1/09/2020,0.139274694
1/10/2020,0.041493776
1/11/2020,-0.061062722
1/12/2020,0.094147847
1/01/2021,0.425378349
1/02/2021,0.547438279
1/03/2021,0.708327313
1/04/2021,0.821890915
1/05/2021,0.801710515
1/06/2021,0.92906629
1/07/2021,0.481052353
1/08/2021,0.206591136
1/09/2021,0.271597086
1/10/2021,0.830811855
1/11/2021,0.49134275
1/12/2021,0.307251716
1/01/2022,0.841457378
1/02/2022,0.913397926
1/03/2022,1.335137955
1/04/2022,0.558253103
1/05/2022,1.1023524
1/06/2022,1.373607576
1/07/2022,-0.011811914
1/08/2022,-0.035439928
1/09/2022,0.215078451
1/10/2022,0.405649443
1/11/2022,-0.101002644
1/12/2022,-0.307009146
1/01/2023,0.799536383
1/02/2023,0.558211051
1/03/2023,0.331072996
1/04/2023,0.505903868
1/05/2023,0.251843501
1/06/2023,0.322891424
1/07/2023,0.190751502
1/08/2023,0.436715507
1/09/2023,0.248513155
1/10/2023,-0.038337952
1/11/2023,-0.201513955
1/12/2023,-0.099332033
1/01/2024,0.54475038
1/02/2024,0.618967178
1/03/2024,0.646416994
